"Well.ID","Name","Well","Conc.Dil","X275480","Count","Mean","Std.Dev","CV....","Mean_blnk","concentration","volume","day","group","Laponite","amount"
"SPL1",NA,"A1",NA,10349,1,10349,"?????","?????",7439,4.17292352478236,1.7,0,"4-AS",0,7.09396999213001
"SPL10",NA,"A10",NA,13667,1,13667,"?????","?????",10757,6.03416297299151,1.7,0,"6-AS",0,10.2580770540856
"SPL11",NA,"A11",NA,8856,1,8856,"?????","?????",5946,3.33542186830971,1.7,0,"6-AS",0,5.6702171761265
"SPL12",NA,"A12",NA,5344,1,5344,"?????","?????",2434,1.36535769045843,1.7,0,"6-AS",0,2.32110807377933
"SPL13",NA,"B1",NA,30938,1,30938,"?????","?????",28028,15.722368672214,0.45,1,"4-AS",0,7.0750659024963
"SPL14",NA,"B2",NA,23470,1,23470,"?????","?????",20560,11.5331775332068,0.45,1,"4-AS",0,5.18992988994306
"SPL15",NA,"B3",NA,27216,1,27216,"?????","?????",24306,13.6345045292862,0.45,1,"4-AS",0,6.13552703817879
"SPL16",NA,"B4",NA,23479,1,23479,"?????","?????",20569,11.5382261031386,0.45,1,"4-AS",0,5.19220174641239
"SPL17",NA,"B5",NA,23189,1,23189,"?????","?????",20279,11.3755499608901,0.45,1,"4-AS-L",1,5.11899748240055
"SPL18",NA,"B6",NA,26415,1,26415,"?????","?????",23505,13.1851818053514,0.45,1,"4-AS-L",1,5.93333181240815
"SPL19",NA,"B7",NA,22923,1,22923,"?????","?????",20013,11.2263366717932,0.45,1,"4-AS-L",1,5.05185150230692
"SPL2",NA,"A2",NA,22987,1,22987,"?????","?????",20077,11.2622376135308,1.7,0,"4-AS",0,19.1458039430023
"SPL20",NA,"B8",NA,23275,1,23275,"?????","?????",20365,11.42379185135,0.45,1,"4-AS-L",1,5.14070633310751
"SPL21",NA,"B9",NA,20508,1,20508,"?????","?????",17598,9.87163707341309,0.45,1,"6-AS",0,4.44223668303589
"SPL22",NA,"B10",NA,25373,1,25373,"?????","?????",22463,12.600669597686,0.45,1,"6-AS",0,5.6703013189587
"SPL23",NA,"B11",NA,33808,1,33808,"?????","?????",30898,17.3323015282599,0.45,1,"6-AS",0,7.79953568771695
"SPL24",NA,"B12",NA,42115,1,42115,"?????","?????",39205,21.9921315753586,0.45,1,"6-AS",0,9.89645920891136
"SPL25",NA,"C1",NA,30405,1,30405,"?????","?????",27495,15.4233811418055,0.45,2,"4-AS",0,6.94052151381247
"SPL26",NA,"C2",NA,24654,1,24654,"?????","?????",21744,12.1973449553526,0.45,2,"4-AS",0,5.48880522990865
